fid,Crop_id,date_observed,stage,height_cm,crop_health,Notes,Photo
56,56,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
57,57,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
58,58,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
59,59,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
60,60,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
61,61,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
62,62,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
63,63,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
64,64,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
65,65,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
66,66,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
67,67,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
68,68,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
69,69,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
70,70,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
71,71,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
72,72,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
73,73,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
74,74,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
75,75,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
76,76,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
77,77,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
78,78,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
79,79,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
80,80,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
81,81,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
82,82,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
83,83,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
84,84,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
85,85,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
86,86,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
87,87,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
88,88,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
89,89,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
90,90,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
91,91,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
92,92,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
93,93,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
94,94,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
95,95,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
96,96,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
97,97,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
98,98,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
99,99,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
100,100,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
101,101,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
102,102,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
103,103,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
104,104,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
105,105,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
106,106,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
107,107,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
108,108,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
109,109,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
110,110,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
111,111,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
112,112,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
113,113,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
114,114,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
115,115,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
116,116,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
117,117,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
118,118,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
119,119,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
120,120,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
121,121,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
122,1,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
123,2,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
124,3,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
125,4,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
126,5,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
127,6,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
128,7,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
129,8,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
130,9,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
131,10,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
132,11,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
133,12,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
134,13,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
135,14,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
136,15,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
137,16,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
138,17,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
139,18,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
140,19,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
141,20,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
142,21,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
143,22,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
144,23,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
145,24,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
146,25,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
147,26,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
148,27,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
149,28,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
150,29,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
151,30,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
152,31,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
153,32,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
154,33,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
155,34,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
156,35,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
157,36,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
158,37,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
159,38,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
160,39,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
161,40,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
162,41,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
163,42,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
164,43,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
165,44,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
166,45,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
167,46,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
168,47,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
169,48,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
170,49,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
171,50,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
172,51,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
173,52,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
174,53,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
175,54,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
176,55,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
177,56,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
178,57,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
179,58,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
180,59,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
181,60,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
182,61,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
183,62,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
184,63,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
185,64,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
186,65,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
187,66,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
188,67,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
189,68,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
190,69,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
191,70,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
192,71,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
193,72,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
194,73,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
195,74,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
196,75,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
197,76,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
198,77,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
199,78,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
200,79,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
201,80,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
202,81,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
203,82,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
204,83,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
205,84,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
206,85,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
207,86,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
208,87,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
209,88,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
210,89,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
211,90,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
212,91,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
213,92,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
214,93,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
215,94,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
216,95,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
217,96,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
218,97,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
219,98,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
220,99,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
221,100,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
222,101,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
223,102,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
224,103,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
225,104,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
226,105,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
227,106,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
228,107,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
229,108,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
230,109,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
231,110,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
232,111,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
233,112,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
234,113,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
235,114,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
236,115,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
237,116,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
238,117,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
239,118,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
240,119,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
241,120,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
242,121,27/08/2025,Flowering,7,Good,,files/monitoring_20250820124409720_image_0001.jpg
243,1,05/09/2025,Harvest,10,Excellent,,files/monitoring_20250820124409720_image_0001.jpg
